2021/10/18,911,,0
2021/10/19,910,,0
2021/10/20,871,,0
2021/10/21,911,,0
2021/10/22,910,,0
2021/10/25,913,,0
2021/10/26,871,,0
2021/10/27,911,,0
2021/10/28,910,,0
2021/10/29,913,,0
2021/11/1,885,,0
2021/11/2,892,,0
2021/11/3,867,,0
2021/11/4,871,,0
2021/11/5,911,,0
2021/11/8,910,,0
2021/11/9,885,,0
2021/11/10,892,,0
2021/11/11,867,,0
