0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
905,2019-01-15,OKC,ATL,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,Timothe Luwawu-Cabarrot,none,none,none,none,none,none,Alex Len,DeAndre' Bembry,Dewayne Dedmon,John Collins,Justin Anderson,Kent Bazemore,Kevin Huerter,Taurean Prince,Trae Young,none,none,none,none,none,none,,,,,,,,,,
906,2019-01-17,OKC,LAL,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,Timothe Luwawu-Cabarrot,none,none,none,none,none,none,Alex Caruso,Brandon Ingram,Isaac Bonga,Ivica Zubac,JaVale McGee,Josh Hart,Kentavious Caldwell-Pope,Kyle Kuzma,Lance Stephenson,LeBron James,Lonzo Ball,Moritz Wagner,Rajon Rondo,Svi Mykhailiuk,none,,,,,,,,,,
907,2019-01-19,OKC,PHI,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,Timothe Luwawu-Cabarrot,none,none,none,none,none,none,Ben Simmons,Furkan Korkmaz,Haywood Highsmith,Jimmy Butler,Joel Embiid,Landry Shamet,Markelle Fultz,Mike Muscala,Shake Milton,T.J. McConnell,none,none,none,none,none,,,,,,,,,,
908,2019-01-21,OKC,NYK,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,Timothe Luwawu-Cabarrot,none,none,none,none,none,none,Damyean Dotson,Emmanuel Mudiay,Enes Freedom,Frank Ntilikina,Kevin Knox II,Kristaps Porzingis,Luke Kornet,Mitchell Robinson,Tim Hardaway Jr,Trey Burke,none,none,none,none,none,,,,,,,,,,
909,2019-01-22,OKC,POR,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,Timothe Luwawu-Cabarrot,none,none,none,none,none,none,Anfernee Simons,CJ McCollum,Damian Lillard,Gary Trent Jr,Jake Layman,Jusuf Nurkic,Maurice Harkless,Nik Statuskas,Seth Curry,Zach Collins,none,none,none,none,none,,,,,,,,,,
910,2019-01-24,OKC,NOP,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,Timothe Luwawu-Cabarrot,none,none,none,none,none,none,Anthony Davis,E'Twaun Moore,Elfrid Payton,Frank Jackson,Jrue Holiday,Julius Randle,Kenrich Williams,Solomon Hill,Tim Frazier,none,none,none,none,none,none,,,,,,,,,,
911,2019-01-27,OKC,MIL,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,Timothe Luwawu-Cabarrot,none,none,none,none,none,none,Brook Lopez,Christian Wood,Donte DiVincenzo,Eric Bledsoe,George Hill,Giannis Antetokounmpo,Khris Middleton,Malcolm Brogdon,Pat Connaughton,Sterling Brown,Tony Snell,none,none,none,none,,,,,,,,,,
912,2019-02-01,OKC,MIA,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,none,Bam Adebayo,Derrick Jones Jr,Duncan Robinson,Goran Dragic,Hassan Whiteside,Jalen Johnson,James Johnson,Josh Richardson,Justise Winslow,Kelly Olynyk,Rodney McGruder,Udonis Haslem,Wayne Ellington,none,none,,,,,,,,,,
913,2019-02-03,OKC,BOS,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,none,Al Horford,Brad Wanamaker,Daniel Theis,Gordon Hayward,Jaylen Brown,Jayson Tatum,Kyrie Irving,Marcus Morris,Marcus Smart,P.J. Dozier,Robert Williams,Semi Ojeleye,Terry Rozier,none,none,,,,,,,,,,
914,2019-02-07,OKC,MEM,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,none,Dillon Brooks,Jaren Jackson Jr,Jevon Carter,Justin Haliday,Kyle Anderson,Mike Conley,Yuta Watanabe,none,none,none,none,none,none,none,none,,,,,,,,,,
915,2019-02-09,OKC,HOU,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,none,Austin Rivers,Chris Paul,Clint Capela,Eric Gordon,Gary Clark,Isaiah Hartenstein,James Harden,P.J. Tucker,none,none,none,none,none,none,none,,,,,,,,,,
916,2019-02-11,OKC,POR,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,none,Anfernee Simons,CJ McCollum,Damian Lillard,Gary Trent Jr,Jake Layman,Jusuf Nurkic,Maurice Harkless,Rodney Hood,Seth Curry,Zach Collins,none,none,none,none,none,,,,,,,,,,
917,2019-02-14,OKC,NOP,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Nerlens Noel,Paul George,Russell Westbrook,Scotty Hopson,Steven Adams,none,none,none,none,none,none,Anthony Davis,E'Twaun Moore,Elfrid Payton,Frank Jackson,Jrue Holiday,Julius Randle,Kenrich Williams,Solomon Hill,Tim Frazier,none,none,none,none,none,none,,,,,,,,,,
918,2019-02-22,OKC,UTA,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Scotty Hopson,Steven Adams,none,none,none,none,none,Derrick Favors,Donovan Mitchell,Georges Niang,Grayson Allen,Jae Crowder,Joe Ingles,Raul Neto,Ricky Rubio,Royce O'Neale,Rudy Gobert,Tony Bradley,none,none,none,none,,,,,,,,,,
919,2019-02-23,OKC,SAC,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Scotty Hopson,Steven Adams,none,none,none,none,none,Alec Burks,Bogdan Bogdanovic,Buddy Hield,De'Aaron Fox,Harrison Barnes,Marvin Bagley III,Nemanja Bjelica,Wenyen Gabriel,Willie Cauley Stein,none,none,none,none,none,none,,,,,,,,,,
920,2019-02-26,OKC,DEN,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Brandon Goodwin,Gary Harris,Isaiah Thomas,Jamal Murray,Jarred Vanderbilt,Malik Beasley,Mason Plumlee,Michael Porter Jr,Monte Morris,Nikola Jokic,Paul Millsap,Torrey Craig,Trey Lyles,Will Barton,none,,,,,,,,,,
921,2019-02-28,OKC,PHI,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Ben Simmons,Boban Marjanovic,Furkan Korkmaz,Haywood Highsmith,James Ennis III,Jimmy Butler,Joel Embiid,Shake Milton,T.J. McConnell,Tobias Harris,none,none,none,none,none,,,,,,,,,,
922,2019-03-02,OKC,SAS,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Bryn Forbes,Cade Cunningham,Chimezie Metu,Davis Bertans,Dejounte Murray,Demar DeRozan,Derrick White,Drew Eubanks,Jacob Poeltl,LaMarcus Aldridge,Lonnie Walker IV,Patty Mills,Rudy Gay,none,none,,,,,,,,,,
923,2019-03-03,OKC,MEM,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Avery Bradley,Delon Wright,Dillon Brooks,Jevon Carter,Jonas Valanciunas,Justin Haliday,Kyle Anderson,Mike Conley,Yuta Watanabe,none,none,none,none,none,none,,,,,,,,,,
924,2019-03-05,OKC,MIN,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Andrew Wiggins,Dario Saric,Derrick Rose,Gorgui Dieng,Josh Okogie,Karl Anthony Towns,Keita Bates-Diop,Robert Covington,Taj Gibson,Tyus Jones,none,none,none,none,none,,,,,,,,,,
925,2019-03-07,OKC,POR,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Anfernee Simons,CJ McCollum,Damian Lillard,Enes Freedom,Gary Trent Jr,Jake Layman,Jusuf Nurkic,Maurice Harkless,Rodney Hood,Seth Curry,Zach Collins,none,none,none,none,,,,,,,,,,
926,2019-03-08,OKC,LAC,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Danilo Gallinari,Garrett Temple,Ivica Zubac,JaMychal Green,Landry Shamet,Lou Williams,Montrezi Harrell,Patrick Beverley,Shai Gilgeous-Alexander,none,none,none,none,none,none,,,,,,,,,,
927,2019-03-11,OKC,UTA,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Derrick Favors,Donovan Mitchell,Georges Niang,Grayson Allen,Jae Crowder,Joe Ingles,Raul Neto,Ricky Rubio,Royce O'Neale,Rudy Gobert,Tony Bradley,none,none,none,none,,,,,,,,,,
928,2019-03-13,OKC,BRK,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Caris LeVert,D'Angelo Russell,Ed Davis,Jarrett Allen,Joe Harris,Jow Harris,Spencer Dinwiddie,Theo Pinson,none,none,none,none,none,none,none,,,,,,,,,,
929,2019-03-16,OKC,GSW,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Alfonzo McKinnie,Andre Iguodala,Damian Jones,Damion Lee,DeMarcus Cousins,Draymond Green,Jordan Bell,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,,,,,,,,,,
930,2019-03-18,OKC,MIA,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Bam Adebayo,Derrick Jones Jr,Duncan Robinson,Goran Dragic,Hassan Whiteside,Jalen Johnson,James Johnson,Josh Richardson,Justise Winslow,Kelly Olynyk,Rodney McGruder,Udonis Haslem,none,none,none,,,,,,,,,,
931,2019-03-20,OKC,TOR,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Chris Boucher,Danny Green,Fred VanVleet,Kawhi Leonard,Kyle Lowry,Norman Powell,OG Anunoby,Pascal Siakam,Serge Ibaka,none,none,none,none,none,none,,,,,,,,,,
932,2019-03-22,OKC,TOR,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Chris Boucher,Danny Green,Fred VanVleet,Kawhi Leonard,Kyle Lowry,Norman Powell,OG Anunoby,Pascal Siakam,Serge Ibaka,none,none,none,none,none,none,,,,,,,,,,
933,2019-03-25,OKC,MEM,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Avery Bradley,Delon Wright,Dillon Brooks,Jevon Carter,Jonas Valanciunas,Justin Haliday,Kyle Anderson,Mike Conley,Yuta Watanabe,none,none,none,none,none,none,,,,,,,,,,
934,2019-03-29,OKC,DEN,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Brandon Goodwin,Gary Harris,Isaiah Thomas,Jamal Murray,Jarred Vanderbilt,Malik Beasley,Mason Plumlee,Michael Porter Jr,Monte Morris,Nikola Jokic,Paul Millsap,Torrey Craig,Trey Lyles,Will Barton,none,,,,,,,,,,
935,2019-03-31,OKC,DAL,0.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Justin Jackson,Kristaps Porzingis,Luka Doncic,Maxi Kleber,Trey Burke,none,none,none,none,none,none,none,,,,,,,,,,
936,2019-04-02,OKC,LAL,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Alex Caruso,Brandon Ingram,Isaac Bonga,JaVale McGee,Josh Hart,Kentavious Caldwell-Pope,Kyle Kuzma,Lance Stephenson,LeBron James,Lonzo Ball,Mike Muscala,Moritz Wagner,Rajon Rondo,Reggie Bullock,none,,,,,,,,,,
937,2019-04-05,OKC,DET,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Andre Drummond,Blake Griffin,Bruce Brown,Ish Smith,Langston Galloway,Luke Kennard,Reggie Jackson,Svi Mykhailiuk,Wayne Ellington,none,none,none,none,none,none,,,,,,,,,,
938,2019-04-07,OKC,MIN,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Andrew Wiggins,Dario Saric,Derrick Rose,Gorgui Dieng,Josh Okogie,Karl Anthony Towns,Keita Bates-Diop,Robert Covington,Taj Gibson,Tyus Jones,none,none,none,none,none,,,,,,,,,,
939,2019-04-09,OKC,HOU,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Austin Rivers,Chris Chiozza,Chris Paul,Clint Capela,Eric Gordon,Gary Clark,Isaiah Hartenstein,James Harden,P.J. Tucker,none,none,none,none,none,none,,,,,,,,,,
940,2019-04-10,OKC,MIL,1.0,Abdel Nader,Dennis Schroder,Hamidou Diallo,Jerami Grant,Markieff Morris,Nerlens Noel,Paul George,Russell Westbrook,Steven Adams,none,none,none,none,none,none,Brook Lopez,Donte DiVincenzo,Eric Bledsoe,George Hill,Giannis Antetokounmpo,Khris Middleton,Malcolm Brogdon,Pat Connaughton,Sterling Brown,Tim Frazier,Tony Snell,none,none,none,none,,,,,,,,,,
941,2019-10-23,OKC,UTA,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Bojan Bogdanovic,Donovan Mitchell,Ed Davis,Emmanuel Mudiay,Georges Niang,Jeff Green,Joe Ingles,Mike Conley,Miye Oni,Royce O'Neale,Rudy Gobert,Tony Bradley,none,none,none,,,,,,,,,,
942,2019-10-25,OKC,WAS,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Bradley Beal,Chris Chiozza,Davis Bertans,Garrison Mathews,Isaac Bonga,Isaiah Thomas,Ish Smith,John Wall,Justin Robinson,Moritz Wagner,Rui Hachimura,Thomas Bryant,Troy Brown Jr,none,none,,,,,,,,,,
943,2019-10-27,OKC,GSW,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Alec Burks,D'Angelo Russell,Damion Lee,Draymond Green,Eric Paschall,Jordan Poole,Kevon Looney,Klay Thompson,Marquese Chriss,Stephen Curry,Willie Cauley Stein,none,none,none,none,,,,,,,,,,
944,2019-10-28,OKC,HOU,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Austin Rivers,Ben McLemore,Chris Clemons,Clint Capela,Eric Gordon,Gary Clark,Isaiah Hartenstein,James Harden,P.J. Tucker,Russell Westbrook,none,none,none,none,none,,,,,,,,,,
945,2019-10-30,OKC,POR,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Anfernee Simons,CJ McCollum,Damian Lillard,Gary Trent Jr,Hassan Whiteside,Jaylen Hoard,Jusuf Nurkic,Kent Bazemore,Moses Brown,Moses Moody,Nassir Little,Rodney Hood,Zach Collins,none,none,,,,,,,,,,
946,2019-11-02,OKC,NOP,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Brandon Ingram,Derrick Favors,E'Twaun Moore,Frank Jackson,Jaxson Hayes,Josh Hart,Jrue Holiday,Kenrich Williams,Lonzo Ball,Nickeil Alexander-Walker,Zion Williamson,none,none,none,none,,,,,,,,,,
947,2019-11-07,OKC,SAS,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Bryn Forbes,Chimezie Metu,Dejounte Murray,Demar DeRozan,Derrick White,Drew Eubanks,Jacob Poeltl,Keldon Johnson,LaMarcus Aldridge,Lonnie Walker IV,Luka Samanic,Patty Mills,Qunnidary Weatherspoon,Rudy Gay,Trey Lyles,,,,,,,,,,
948,2019-11-09,OKC,GSW,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Alec Burks,D'Angelo Russell,Damion Lee,Draymond Green,Eric Paschall,Jordan Poole,Kevon Looney,Klay Thompson,Marquese Chriss,Stephen Curry,Willie Cauley Stein,none,none,none,none,,,,,,,,,,
949,2019-11-10,OKC,MIL,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Brook Lopez,Donte DiVincenzo,Eric Bledsoe,George Hill,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Robin Lopez,Sterling Brown,Thanasis Antetokounmpo,Wesley Matthews,none,none,none,none,,,,,,,,,,
950,2019-11-15,OKC,PHI,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Al Horford,Ben Simmons,Furkan Korkmaz,James Ennis III,Joel Embiid,Josh Richardson,Matisse Thybulle,Raul Neto,Shake Milton,Tobias Harris,Trey Burke,none,none,none,none,,,,,,,,,,
951,2019-11-18,OKC,LAC,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Amir Coffey,Ivica Zubac,JaMychal Green,Kawhi Leonard,Landry Shamet,Lou Williams,Maurice Harkless,Montrezi Harrell,Patrick Beverley,Paul George,Rodney McGruder,Terance Mann,none,none,none,,,,,,,,,,
952,2019-11-19,OKC,LAL,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Alex Caruso,Anthony Davis,Avery Bradley,Danny Green,DeMarcus Cousins,Dwight Howard,JaVale McGee,Kentavious Caldwell-Pope,Kyle Kuzma,LeBron James,Rajon Rondo,Talen Horton-Tucker,none,none,none,,,,,,,,,,
953,2019-11-22,OKC,LAL,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Alex Caruso,Anthony Davis,Avery Bradley,Danny Green,DeMarcus Cousins,Dwight Howard,JaVale McGee,Kentavious Caldwell-Pope,Kyle Kuzma,LeBron James,Rajon Rondo,Talen Horton-Tucker,none,none,none,,,,,,,,,,
954,2019-11-25,OKC,GSW,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Alec Burks,D'Angelo Russell,Damion Lee,Draymond Green,Eric Paschall,Jordan Poole,Kevon Looney,Klay Thompson,Marquese Chriss,Stephen Curry,Willie Cauley Stein,none,none,none,none,,,,,,,,,,
955,2019-11-27,OKC,POR,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Anfernee Simons,Carmelo Anthony,CJ McCollum,Damian Lillard,Gary Trent Jr,Hassan Whiteside,Jaylen Hoard,Jusuf Nurkic,Kent Bazemore,Moses Brown,Moses Moody,Nassir Little,Rodney Hood,Zach Collins,none,,,,,,,,,,
956,2019-11-29,OKC,NOP,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Brandon Ingram,Derrick Favors,E'Twaun Moore,Frank Jackson,Jaxson Hayes,Josh Hart,Jrue Holiday,Kenrich Williams,Lonzo Ball,Nickeil Alexander-Walker,Zion Williamson,none,none,none,none,,,,,,,,,,
957,2019-12-01,OKC,NOP,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Brandon Ingram,Derrick Favors,E'Twaun Moore,Frank Jackson,Jaxson Hayes,Josh Hart,Jrue Holiday,Kenrich Williams,Lonzo Ball,Nickeil Alexander-Walker,Zion Williamson,none,none,none,none,,,,,,,,,,
958,2019-12-06,OKC,MIN,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Andrew Wiggins,Gorgui Dieng,Jaden McLaughlin,Jake Layman,Jarrett Culver,Jaylen Nowell,Jordan Bell,Jordan McLaughlin,Josh Okogie,Karl Anthony Towns,Keita Bates-Diop,Kelan Martin,Naz Reid,Robert Covington,none,,,,,,,,,,
959,2019-12-08,OKC,POR,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Anfernee Simons,Carmelo Anthony,CJ McCollum,Damian Lillard,Gary Trent Jr,Hassan Whiteside,Jaylen Hoard,Jusuf Nurkic,Kent Bazemore,Moses Brown,Moses Moody,Nassir Little,Rodney Hood,Zach Collins,none,,,,,,,,,,
960,2019-12-09,OKC,UTA,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Bojan Bogdanovic,Donovan Mitchell,Ed Davis,Emmanuel Mudiay,Georges Niang,Jeff Green,Joe Ingles,Mike Conley,Miye Oni,Royce O'Neale,Rudy Gobert,Tony Bradley,none,none,none,,,,,,,,,,
961,2019-12-11,OKC,SAC,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Bogdan Bogdanovic,Buddy Hield,Cory Joseph,DaQuan Jeffries,De'Aaron Fox,Dewayne Dedmon,Harrison Barnes,Kyle Guy,Marvin Bagley III,Nemanja Bjelica,Richaun Holmes,Trevor Ariza,Wenyen Gabriel,none,none,,,,,,,,,,
962,2019-12-14,OKC,DEN,0.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Bol Bol,Gary Harris,Jamal Murray,Jarred Vanderbilt,Jerami Grant,Malik Beasley,Mason Plumlee,Michael Porter Jr,Monte Morris,Nikola Jokic,P.J. Dozier,Paul Millsap,Torrey Craig,Vlatko Cancar,Will Barton,,,,,,,,,,
963,2019-12-16,OKC,CHI,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Coby White,Daniel Gafford,Lauri Markkanen,Luke Kornet,Max Strus,Otto Porter Jr,Shaquille Harrison,Thaddeus Young,Tomas Satoransky,Wendell Carter Jr,Zach Lavine,none,none,none,none,,,,,,,,,,
964,2019-12-18,OKC,MEM,1.0,Abdel Nader,Chris Paul,Danilo Gallinari,Darius Bazley,Dennis Schroder,Hamidou Diallo,Luguentz Dort,Mike Muscala,Nerlens Noel,Shai Gilgeous-Alexander,Steven Adams,none,none,none,none,Andre Iguodala,Brandon Clarke,De'Anthony Melton,Dillon Brooks,Grayson Allen,Ja Morant,Jae Crowder,Jaren Jackson Jr,John Konchar,Jonas Valanciunas,Josh Jackson,Kyle Anderson,Solomon Hill,Tyus Jones,Yuta Watanabe,,,,,,,,,,
