0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
16,2016-11-27,ORL,MIL,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Giannis Antetokounmpo,Greg Monroe,Jabari Parker,Khris Middleton,Malcolm Brogdon,Tony Snell,none,none,none,none,none,none,none,none,none,,,,,,,,,,
17,2016-11-29,ORL,SAS,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Bryn Forbes,Danny Green,Davis Bertans,Dejounte Murray,Dewayne Dedmon,Kawhi Leonard,Kyle Anderson,LaMarcus Aldridge,Patty Mills,none,none,none,none,none,none,,,,,,,,,,
18,2016-12-01,ORL,MEM,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,James Ennis III,JaMychal Green,Mike Conley,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
19,2016-12-02,ORL,PHI,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Ben Simmons,Dario Saric,Joel Embiid,Nerlens Noel,Nik Statuskas,Richaun Holmes,Robert Covington,T.J. McConnell,Timothe Luwawu-Cabarrot,none,none,none,none,none,none,,,,,,,,,,
20,2016-12-04,ORL,DET,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Andre Drummond,Boban Marjanovic,Ish Smith,Kentavious Caldwell-Pope,Marcus Morris,Reggie Bullock,Reggie Jackson,Tobias Harris,none,none,none,none,none,none,none,,,,,,,,,,
21,2016-12-06,ORL,WAS,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Bradley Beal,John Wall,Kelly Oubre Jr,Markieff Morris,Otto Porter Jr,Tomas Satoransky,Trey Burke,none,none,none,none,none,none,none,none,,,,,,,,,,
22,2016-12-07,ORL,BOS,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Al Horford,Avery Bradley,Isaiah Thomas,Jae Crowder,Jaylen Brown,Kelly Olynyk,Marcus Smart,Terry Rozier,none,none,none,none,none,none,none,,,,,,,,,,
23,2016-12-09,ORL,CHO,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Christian Wood,Cody Zeller,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Nicolas Batum,none,none,none,none,none,none,none,none,none,,,,,,,,,,
24,2016-12-10,ORL,DEN,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Jamal Murray,Jusuf Nurkic,Malik Beasley,Nikola Jokic,Will Barton,none,none,none,none,none,none,none,,,,,,,,,,
25,2016-12-13,ORL,ATL,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dwight Howard,Kent Bazemore,Mike Muscala,Paul Millsap,Taurean Prince,Tim Hardaway Jr,none,none,none,none,none,none,none,,,,,,,,,,
